Subject,Catalog Number,Title
AAS,101,African American Survey
ACC,201,Financial Accounting
ACC,202,Managerial Accounting
ACC,400,Accounting Environment
ACC,420,Internal Auditing
ACC,473,Law for Accountants I
ACC,600,Accounting Environment
ACC,620,Internal Auditing
ACC,673,Law For Accountants I
ACC,705,Rsrch Methods in Federal Tax
ACC,709,Systems Theory & App
ACC,725,Mergers & Acquisitions
ACC,789,Seminar in Acctg
AIS,101,Intro to Asian Studies
ANTH,101,Intro Cultural Anthro
ANTH,102,Intro to Bio Anthropology
ANTH,105,Intro World Archaeology
ANTH,110L,Intr Bio Anthropology Lab
ANTH,193,Data Analysis for Anth
ANTH,306,Contemp Chinese Society
ANTH,411,Buddhism and Culture
ANTH,420,"Magic, Witchcraft & Religion"
ANTH,428,Signifying Identities
ANTH,438,Ethno Field Methods
ANTH,466,"Hum Nut: Past, Pres & Fut"
ANTH,799,Independ Research
ART,101,Drawing I
ART,156,Design Fundamentals III
ART,160,Art Appreciation
ART,261,Survey of Art History II
ART,425,Advanced Studio Practice
ART,490,Studio Internship
ART,495,Sp Topics Art Hist
ART,498,Seminar in Visual Arts
BIOL,100,Gen Bio Non Majors
BIOL,189L,Fund Life Sci Lab
BLW,302,Legal Environment
BUS,321,Business Communication
BUS,496,Strat Mgmt & Policy
BUS,498,Global Busn Strategy
CED,117,Intrpsl Skills Human Rel
CED,200,Multicult Issues Counselg
CED,300,Intro Human Serv/Coun
CED,320,Drugs and Behavior
CED,322,Perspectives On Addiction
CED,325,Mental hlth/Human Serv Pro
CED,350,Research - Human Services
CED,410,Eating Disorders
CED,425,Pers in Multicultural Cou
CED,427,Clinical Process Addict
CED,440,Problem Gambling II
CED,445,Trauma and Addiction
CED,450,Treatment of Addictions
CED,610,Eating Disorders
CED,640,Prob Gam Coun II
CED,645,Trauma and Addiction
CEE,307,Engineering Economics
CEE,371,Numerical Methods in CE
CEE,481,Sustainable Construction
CEE,681,Sustainable Construction
CEM,480,Sustainable Construction
CEM,680,Sustainable Construction
CFA,100,First Year Symposia
CFT,150,Personal Growth
CFT,225,Multicultural Issues
CFT,360,Contemporary Families
CFT,370,Couple and Marital Rel
CHEM,103,Preparatory Chemistry
CHEM,121A,Gen Chemistry I
CIE,508,Clsrm Mgt Elem Educ
CIE,553,Tchg Elem Sch Social Stud
CIE,685,Elem Education Curriculum
CIG,603,Urban Education
CIG,686,Change Agents
CIG,690,Tchrs Action Researchers
CIG,768,Curriculum Studies
CIL,501,Chldrn Lit Elem Sch Curr
CIL,542,Literacy Instruction I
CIL,543,Literacy Instr II-Clinic-Based
CIL,621,Assessment in Literacy
CIL,680,Cont Lit Chldrn Yng Adult
CIS,563,Tchg Secondary Science
CIS,573,Tchg Sec Social Studies
CIS,604,Sec Classroom Management
CIS,684,Sec Education Curriculum
CIT,601,Technology Elem Curr
CIT,602,Technology Secondary Curr
CIT,609,Designing for LMS
CIT,653,Creating Digital Education
COE,202,Second-Year Seminar
COLA,100E,FYS: Academic Success Ctr
COLA,100LA,First Year Seminar
COLA,402,COLA Internship
COM,101,Oral Communication
COM,102,Intro Interper Comm
COM,104,Crit Think in Pub Arg
COM,211,Survey Rhetorical Studies
COM,212,Intro to Com Research
COM,216,Survey of Comm Studies
COM,314,Health Communication
COM,330,Selected Topics in Com Studies
COM,332,Online Relationships
COM,400,Communication Theory
COM,408,Rhetorical Criticism
COM,409,The Rhetorical Tradition
COM,418,Rhetoric of Science
COM,434,Comm and Conflict Resolution
COM,634,Conflict Management
CPE,100,Digital Logic Design I
CPE,260,Theory of Systems
CPE,301,Embedded Systems Design
CPE,404,Mpa
CPE,405,Coding Systems
CRJ,104,Intr Admin of Justice
CRJ,106,Intro to Corrections
CRJ,130,Survey of Criminal Law
CRJ,211,Police in America
CRJ,269,Intro to Emergency Mgmt
CRJ,270,Intro to Criminology
CRJ,301,Resh Methods in Crj
CRJ,302,Quant Appl in Crj
CRJ,313,Law Police and Community
CRJ,315,Hate Crimes
CRJ,400,Theories of Crime
CRJ,409,Youth Crime and Society
CRJ,419,Law and Society
CRJ,428,Women and Crime
CRJ,432,Crim Justice Proc
CRJ,441,Social Science in Law
CRJ,442,Victims of Sex Crimes
CRJ,469,Psych and the Legal Sys
CRJ,488X,Corporate Cybersecurity
CRJ,490,Crime Prevention
CRJ,498,Senior Assessment
CS,115,Introduction to Computers
CS,135,Computer Science I
CS,442,Cloud Computing
CS,477,Analysis of Algorithms
CS,642,Cloud Computing
CS,677,Analysis of Algorithms
CS,769,Adv Data Base Mgt
DA,621,Prog For Data Analytics
DA,622,Prog for Data Analytics II
DA,651,Managing Big Data and Web Data
DAN,101,Dance Appreciation
DAN,103,"Sex, Dance & Entertainment"
DAN,104,Apprec Dan in Film
DAN,108,Pilates I
DAN,110,Dan for Flex & Tone
DAN,166,Survey of Afric-Amer Dan
DAN,301,World Dance
DAN,351,Dance Kinesiology
DAN,365,Dance History I
DAN,369,Aesthetics Design for Dan
DAN,451,Prev & Care Dan Inj(Thry)
DERM,2000,Dermatology Learning Modules
EAB,700,Research Methods
EAB,703,Biostatistical Methods
EAB,705,Epidemiology and Public Health
ECE,252,Infant/Toddler Curriculum
ECE,441,Play Theory Early Chldhd
ECE,453,Meth in Ece I: Soc Sci
ECE,457,Working with Families EC
ECE,461,Early Chldhd Ed Mgt
ECE,463,STEAM in ECE
ECE,706,Planning Curr Young Child
ECE,711,Sci & Math Young Children
ECE,712,STEM in ECE
ECEM,714,Community Resilience
ECEM,722,Community Preparedness
ECEM,724,Exercise Design
ECEM,726,Trauma and Stress Mgmt
ECEM,731,"Risk Asse, Mit and Comm"
ECEM,734,Concepts Implementation
ECG,604,Modern Processor Architec
ECG,695,Sp Topics: Engineer
ECG,703,Machine Learning Applications
ECON,102,Prin Microeconomics
ECON,103,Prin Macroeconomics
ECON,180,Econ of Discrimination
ECON,190,Global Economics
ECON,200,"Capital, Constitutions"
ECON,261,Principle of Statistics I
EDEL,331,Tch Elem School Art
EDEL,408,Clsrm Mgt Ele Ed
EDEL,453,Tch El Sch Soc Stud
EDH,607,Leadership Development
EDH,709,Economics of Hi Edu
EDH,715,Ed Organizations
EDH,727,College Students in the US
EDRL,401,Child Lit Elem Sch Curr
EDSC,408,Classrm Mgt Sec Ed
EDSC,463,Tch Secondry Scienc
EDSC,473,Tch Sec Social St
EDSP,411,Stud with Disab in Gen Ed
EDSP,414,Career Ed Disabilit
EDSP,432,Prnt Invlment for Students
EDU,201,Intro Elementary Edu
EDU,202,Intro to Secondary Edu
EDU,203,Intro Special Education
EDU,214E,Prep Tchrs to Use Tech
EDU,214S,Prep Tchrs to Use Tech
EDU,280,Valuing Cultural Diversty
EDW,571,Advising CTSO
EDW,749R,Eval of Workforce Ed Programs
EE,220,Circuits I
EE,292,Intro Electrical Engr
EE,330,Engineer Electromagnetics
EE,340,Power System Fundamentals
EE,438,Radar in Industry
EE,495,Sp Topics: Engineer
EGG,100,People and Technology
EMHA,701,Srvy US Hlthcare System: Prgm
EMHA,718,Healthcare Economics
EMHA,719,Oper and Qlty Mgmt Hlth Serv
EMHA,720,Info Systems in Hlth Serv Mgmt
EMHA,730,Strategic Mgmt of Hlth Serv
EMHA,778,Spec Topic in HC Leadership Sp
EMHA,779,Hlth Care Admin Capstone
ENG,101,Composition I
ENG,102,Composition II
ENG,211,Intro to Linguistics
ENG,231,World Literature I
ENG,232,World Literature II
ENG,261,Intro Poetry
ENG,290,Intro Afric-Amer Lit
ENG,298,Writing About Literature
ENG,303,Literary Theory/Criticism
ENG,401A,Advanced Composition
ENG,407A,Fund Bus Writ
ENG,407B,Fund Tech Writing
ENG,411B,Prin Mod Grammar
ENG,451B,American Literature II
ENG,481B,Modern Comparative Lit
ENG,611B,Prin Mod Grammar
ENV,101,Env Science
EOH,601,Toxicology
EOH,645,Food and Health
EOH,705,Social Epidemiology
EOH,707,Practice of Public Health
EOH,710,Fund Public Health
EOH,747,Infectious Disease
EOH,750,Healthcare IP Programs
EPP,762,Intermediate Prac
EPP,763,Psychoedu Acad Assess
EPP,764,Ethics Seminar
EPP,771,Research Practicum
EPP,778,Bio Aspects
EPP,784,Supervision and Teaching
EPP,786,First Year Practicum
EPP,794,Doc Internship
EPY,303,Educ Psychology
EPY,451,Educational Assessment
EPY,702,Research Methods
EPY,707,Adolescent Development
EPY,709,Classroom Assessment
EPY,711,Human Growth & Developmnt
EPY,718,Qual Research Methodolog
EPY,721,Intro Desc Infr Sta
EPY,726,Adv Eval Rsh Method
ESP,701,Intro to Sp Ed & Leg Iss
ESP,706,Adv Ed Strat Em D
ESP,708,Adv Ed Strat Students Dis
ESP,710,Data Ind MTSS
ESP,719A,Adv Oral & Writ Stud Dis
ESP,724,Math Meth in Spec Educ
ESP,727,Tech in Special Education
ESP,730,Parent Involv Sp & Gen Ed
ESP,733,Mgt/Mod of Students
ESP,763,Sem Sel Sp Ed Topic
FAB,200,Sustainable Food Tourism
FILM,100,Intro to Film
FILM,410,Maj Fig in Cinema
FILM,450,Adv Directed Studies in Film
FILM,497,Genre Stds in Film
FIN,301,Prin of Managrl Fin
FIN,303,Inter Managral Fin
FIN,435,Financial Modeling
FIN,709,Applied Topics in Finance
GAM,225,Intro to Gaming Mgt
GEOG,103,Phy Geog of Earth's Env
GEOG,104,Physical Geog Lab
GEOL,100,Natural Disasters
GEOL,101,Exploring Planet Earth
GRC,210,Typography I
GRC,250,Design & Media Studio I
GRC,270X,History of Graphic Design
GRC,320,Design Methods and Research
GSC,100,First Year Seminar
GSC,300,GCUA SYS: Civic Engagement
HCA,175,U.S. Healthcare System
HCA,201,Healthcare Law
HCA,202,Epidemiology for HCA
HCA,203,Diversity and US Hlthcare
HCA,205,Intro to Health Econ
HCA,216,Fundamental of Accounting
HCA,299,Leading in Hlthcare Envir
HCA,300,Mgmt Hlth Serv Orgs
HCA,302,Healthcare Finance
HCA,308,Health IS Management
HCA,330,Strategic Planning
HCA,401,Pre-Practicum in HCA
HCA,403,Managed Care
HCA,404,H.R.Mgmt: HC Orgs
HCA,701,US Healthcare System
HCA,702,Epi Hlth Srvs Mgt
HCA,717,HR Mgt of Healthcare Orgs.
HED,607,Stress Management
HED,629,Education for Sexuality
HED,635,Hlth Studies Drugs
HED,761,Health Disparities
HIST,100,Hist Issu Contem Society
HIST,101,US Colonial Times to 1877
HIST,102,U.S. Since 1877
HIST,103,Global Prblms in History
HIST,110,Hist of Multi in America
HIST,209,World History II
HIST,217,Nevada History
HIST,228,Latin Amer Hist & Cult II
HIST,367,The Holocaust Euro Set
HIST,388,Great Personalities Hist
HIST,410B,Am Cultrl Intell Hist II
HIST,444,Latinos in the Amer West
HIST,449B,Hist of Japan Since 1800
HIST,644,Latinos in the Amer West
HIST,649B,Hist of Japan Since 1800
HMD,101,Foundatns of Hospitality
HMD,120,Intro Hosp Customer Exper
HMD,130,Fundamentals F&B Oper
HMD,200,Hospitality Milestone
HMD,204X,Hotel Operations
HMD,205,Hospitality HR Management
HMD,220,Facilitating Customer Exp
HMD,221,Hospitality Financial Acc
HMD,225,Hospitality Leadership
HMD,226,Hospitality IT
HMD,256,Employee Compensation
HMD,305,Hospitality Org Behaviors
HMD,310,Hospitality Ops & Emp Law
HMD,330,Hosp Purch/Cost Control
HMD,340,Hosp Financial Analysis
HMD,350,Hospitality Marketing
HMD,395,Facilities Management
HMD,400,Immersive Culminate Exp
HMD,405,Hospitality Strategic Mgt
HMD,410,Integrated Resorts CE
HMD,440,Rev Mgmt & Profit Optmize
HMD,480,Hosp Industry Projects
HOA,717,Princ & Pract Conv/Meet
HOA,730,Stats Analysis for Hospitality
HOA,751,Hosp Service Mgmt
HOA,752,Adv Hosp Mgt I
HOA,753,Adv Hosp Mgt II
HOA,768,Hosp Leadership I
HON,100,Honors Rhetoric
HON,110,World Thought
HON,115,Global Issues
HON,430,Special Topics Seminars
HON,440,Special Topics Seminars
HSC,100,Intro to Academ and Sch in HSC
HSC,103,Intro to OT
HSC,700,Statistics I
HSC,706,Writing and Communication
IDS,201,Interdisciplinary Studies
IDS,494,Interdisciplinary Inquiry
IDS,495A,IDS Capstone
INTM,5000,High Value Care
IPSM,606,College Athletic Admin
IS,101,Intro to Info Systems
IS,330,Tech and Innovation
IS,335,Business Analytics
IS,380,Object-Oriented Program
ITAL,113,Elementary Italian I
ITAL,114,Elementary Italian II
JMS,613,History of Journalism
JMS,650,Media Innov and Society
JOUR,107,Media: Foundations
JOUR,207,Media: Words and Numbers
JOUR,209,Mobile Storytelling
JOUR,211,Storytelling and Design
JOUR,310,Advanced Reporting
JOUR,401,1st Amendment & Society
JOUR,411,Digital Newsroom
JOUR,413,History of Journalism
JOUR,435,Mass Comm Rsrch Methods
JOUR,450,"Media, Innovation, & Soc"
JOUR,475,Global Media
KIN,170,Intro Kinesiology w/Lab
KIN,175,Physical Activity and Health
KIN,200,Stats for the Health Sci
KIN,223,Human Anatomy and Physiology I
KIN,224,Human Anatomy & Physiology II
KIN,245,Anat Kinesiology
KIN,261,Phys Activity in Aging
KIN,316,Motor Devel Acrs Lifespan
KIN,350,Soc Psych of Physical Activ
KIN,408,Sci Basis Strength Devel
KIN,411,1st Resp & Mil Human Perf
KIN,414,Enhance Mental/Motor Abil
KIN,424,KIN PRO DEV
KIN,465,Neurophys of Mvmt
KIN,496X,Advanced Clinical Anatomy
KIN,611,First Resp & Military Perf
KIN,751,Sel App Stat Tech I
KIN,754,Health Sci Writing and Comm
LAS,100,Intro Latina/o Studies
LAS,101,Intro Latin American Stud
LDE,313,Leadership & Soc Justice
MATH,20B,Learning Support MATH120E
MATH,24B,Learning Support MATH124E
MATH,26B,Learning Support MATH 126
MATH,120,Fund Coll Math
MATH,120E,Fund College Math w Coreq
MATH,124,College Algebra
MATH,124E,College Algebra Expanded
MATH,126,Precalculus I
MATH,126E,Precalculus I Expanded
MATH,127,Precalculus II
MATH,132,Finite Mathematics
MBA,761,Accounting for Managers
MBA,769,Applied Econ Analysis
ME,319,Intro Prog for Mech Eng
ME,337,Engr Measurements
ME,755,Nuclear Criticality Safety Eng
ME,757,Rad Monitoring Safeguards
MED,4000,Patient Script Writing
MGT,301,Prin Mgt & Organ Beh
MGT,302,Small Business Management
MGT,371,Leadership & Managerial Skills
MGT,492,Adv Org Behavior
MGT,494,Seminar in Management
MGT,497,Business Plan Creation
MHA,603,Hum Res & Beh Hosp
MHA,604,Hospitality Org Beh Issues
MHA,622,Sociology of Gambling
MHA,627,Gaming Technologies
MHA,635,Research Methods
MHA,640,Marketing Systems
MHA,646,Essentials of Negotiation
MHA,651,Hospitality Service Management
MHA,663,Current Trends in Gaming Ops
MHA,681,Independent Study and Research
MHA,788,Professional Paper
MIL,264,US Military Hist 1770-Present
MIS,761,Business Analytics Mtds
MIS,769,Big Data
MKT,747,Global Digital Mktg. Strategie
MKT,777,Services Marketing
MUS,101,Music Fundamentals
MUS,121,Music Appreciation
MUS,125,History Rock Music
MUS,131,Intro to Music Lit
MUS,139E,Music Tech for Educators
MUS,346,Jazz & Comm History II
MUS,640,Found Prin Mus Educ
MUS,641,Studies Mus Curr
MUS,672,Research Proj in Music Ed
MUS,719,Tchg Mus in Higher Ed
NURS,140,Medical Terminology
NURS,200,Stats for the Health Sci
NURS,299,Nutr Devel Lifespan
NURS,306,Pathopharm I
NURS,320,Pathopharm II
NURS,325,Prof Communication
NURS,420,EBP and Research in Nsg
NURS,710,Eval Strat for Nsg Ed
NURS,711,Informatics and Qual Improve
NURS,718,"Organizational Management, NPs"
NURS,730,Adv Pharm and Gen II
NURS,733,Nursing Education Practicum I
NURS,740R,FNP Adult and Women's Health
NURS,768,DNP Forum
NURS,779,Grant Writing
NURS,785,Sp Topics Nurs Research
NURS,788,DNP Project
NURS,794,PMHNP I
NURS,797,Dissertation
NUTR,121,Human Nutrition
NUTR,301,"Nutr,Health & Ethn Issue"
NUTR,311,Nutrition Assessment
NUTR,311L,Nutrition Assessment Lab
NUTR,326,Principles of Food Science
NUTR,340,Intro Sports Nutr
NUTR,408,"Nutrition, Food & Policy"
NUTR,427,Med Ntr Therapy II
NUTR,431,Seminar in Nutrition
NUTR,450,Nutritional Pathophysiology
NUTR,631,Seminar in Nutrition
NUTR,794,Prep for prac nutr diet
OCT,705,Distance Education
OCT,711,Capstone II
PAF,713,Research in Public Affairs
PBH,165,Pers Hlth Acrs Lifespan
PBH,200,Multicultural Health
PBH,202,Intro Epidemiology
PBH,205,Intro to Public Health
PBH,210,Principles of Health Promotion
PBH,225,History of Public Health
PBH,330,Global Health
PBH,340,Built Environment and Health
PBH,365,Pub Hlth Biostatistics
PBH,407,Stress Management
PBH,424,Tching Elem School Health
PBH,429,Education for Sexuality
PBH,435,Hlth Studies Drugs
PBH,440,Prgm Plan and Eval
PBH,445,Food and Health
PBH,460,Human Ecology
PBH,495,Capstone
PED,307,Eval Phys Ed
PEX,156,Body Weight Bootcamp
PEX,161,Pilates I
PGM,178X,Intro to Club & Golf Mgmt
PGM,462,PGM Internship IV
PHIL,101,Intro to Philosophy
PHIL,102,Crit Thinking & Reasoning
PHIL,114,Intro to Symbolic Logic
PHIL,124,Phil Tradit of Asia
PHIL,130,Topics in Phil/Relgn
PHIL,135,Intro to Ethics
PHIL,203,Existentialism
PHIL,242,Ethics Engners/Scientists
PHIL,249,Environmental Ethics
PHIL,422,Advanced Logic
PHYS,151A,General Physics I
PHYS,151L,General Physics I Lab
PHYS,152A,General Physics II
PHYS,152L,General Physics II Lab
PSC,100,Nevada Constitution
